component,values,area,scenario
Day-ahead costs,4433.13,1,1
up-activation cost,376.75,1,1
down-activation cost,-1.53,1,1
Shedding,0.0,1,1
Dumping,0.2,1,1
Water,0.0,1,1
Bypass cost,0.0,1,1
Spill cost,0.0,1,1
Day-ahead costs,4433.13,1,2
up-activation cost,4.6499999999999995,1,2
down-activation cost,-657.5600000000001,1,2
Shedding,0.0,1,2
Dumping,0.18,1,2
Water,0.0,1,2
Bypass cost,0.0,1,2
Spill cost,0.0,1,2
Day-ahead costs,4433.13,1,3
up-activation cost,196.7,1,3
down-activation cost,-3.69,1,3
Shedding,0.0,1,3
Dumping,0.17,1,3
Water,0.0,1,3
Bypass cost,0.0,1,3
Spill cost,0.0,1,3
Day-ahead costs,4433.13,1,4
up-activation cost,30.160000000000004,1,4
down-activation cost,-137.57999999999998,1,4
Shedding,0.0,1,4
Dumping,0.17,1,4
Water,0.0,1,4
Bypass cost,0.0,1,4
Spill cost,0.0,1,4
Day-ahead costs,4433.13,1,5
up-activation cost,7.87,1,5
down-activation cost,-273.78999999999996,1,5
Shedding,0.0,1,5
Dumping,0.18,1,5
Water,0.0,1,5
Bypass cost,0.0,1,5
Spill cost,0.0,1,5
Day-ahead costs,4433.13,1,6
up-activation cost,74.67,1,6
down-activation cost,-11.83,1,6
Shedding,0.0,1,6
Dumping,0.19,1,6
Water,0.0,1,6
Bypass cost,0.0,1,6
Spill cost,0.0,1,6
Day-ahead costs,4433.13,1,7
up-activation cost,93.0,1,7
down-activation cost,-7.6899999999999995,1,7
Shedding,0.0,1,7
Dumping,0.21,1,7
Water,0.0,1,7
Bypass cost,0.0,1,7
Spill cost,0.0,1,7
Day-ahead costs,4433.13,1,8
up-activation cost,196.7,1,8
down-activation cost,-3.69,1,8
Shedding,0.0,1,8
Dumping,0.17,1,8
Water,0.0,1,8
Bypass cost,0.0,1,8
Spill cost,0.0,1,8
Day-ahead costs,4433.13,1,9
up-activation cost,30.160000000000004,1,9
down-activation cost,-137.57999999999998,1,9
Shedding,0.0,1,9
Dumping,0.17,1,9
Water,0.0,1,9
Bypass cost,0.0,1,9
Spill cost,0.0,1,9
Day-ahead costs,4433.13,1,10
up-activation cost,6.02,1,10
down-activation cost,-459.33,1,10
Shedding,0.0,1,10
Dumping,0.18,1,10
Water,0.0,1,10
Bypass cost,0.0,1,10
Spill cost,0.0,1,10
Day-ahead costs,5093.79,2,1
up-activation cost,2306.6400000000003,2,1
down-activation cost,-133.11,2,1
Shedding,127.5,2,1
Dumping,0.0,2,1
Water,7261.88,2,1
Bypass cost,0.0,2,1
Spill cost,673.81,2,1
Day-ahead costs,5093.79,2,2
up-activation cost,164.02,2,2
down-activation cost,-1989.1899999999998,2,2
Shedding,0.0,2,2
Dumping,0.0,2,2
Water,3268.61,2,2
Bypass cost,0.0,2,2
Spill cost,0.0,2,2
Day-ahead costs,5093.79,2,3
up-activation cost,1256.1999999999998,2,3
down-activation cost,-136.70000000000002,2,3
Shedding,0.0,2,3
Dumping,0.0,2,3
Water,6212.74,2,3
Bypass cost,0.0,2,3
Spill cost,54.74,2,3
Day-ahead costs,5093.79,2,4
up-activation cost,209.06,2,4
down-activation cost,-711.49,2,4
Shedding,0.0,2,4
Dumping,0.0,2,4
Water,4591.36,2,4
Bypass cost,0.0,2,4
Spill cost,0.0,2,4
Day-ahead costs,5093.79,2,5
up-activation cost,170.54000000000002,2,5
down-activation cost,-1182.95,2,5
Shedding,0.0,2,5
Dumping,0.0,2,5
Water,4081.3799999999997,2,5
Bypass cost,0.0,2,5
Spill cost,0.0,2,5
Day-ahead costs,5093.79,2,6
up-activation cost,593.99,2,6
down-activation cost,-246.78,2,6
Shedding,0.0,2,6
Dumping,0.0,2,6
Water,5440.969999999999,2,6
Bypass cost,0.0,2,6
Spill cost,2.17,2,6
Day-ahead costs,5093.79,2,7
up-activation cost,685.4899999999999,2,7
down-activation cost,-212.01,2,7
Shedding,0.0,2,7
Dumping,0.0,2,7
Water,5567.19,2,7
Bypass cost,0.0,2,7
Spill cost,9.29,2,7
Day-ahead costs,5093.79,2,8
up-activation cost,1256.19,2,8
down-activation cost,-136.69000000000003,2,8
Shedding,0.0,2,8
Dumping,0.0,2,8
Water,6212.74,2,8
Bypass cost,0.0,2,8
Spill cost,54.74,2,8
Day-ahead costs,5093.79,2,9
up-activation cost,209.04000000000002,2,9
down-activation cost,-711.5,2,9
Shedding,0.0,2,9
Dumping,0.0,2,9
Water,4591.34,2,9
Bypass cost,0.0,2,9
Spill cost,0.0,2,9
Day-ahead costs,5093.79,2,10
up-activation cost,165.11,2,10
down-activation cost,-1611.1399999999999,2,10
Shedding,0.0,2,10
Dumping,0.0,2,10
Water,3647.78,2,10
Bypass cost,0.0,2,10
Spill cost,0.0,2,10
Start,500.0,1,1
Start,0.0,2,1
Start,500.0,1,2
Start,0.0,2,2
Start,500.0,1,3
Start,0.0,2,3
Start,500.0,1,4
Start,0.0,2,4
Start,500.0,1,5
Start,0.0,2,5
Start,500.0,1,6
Start,0.0,2,6
Start,500.0,1,7
Start,0.0,2,7
Start,500.0,1,8
Start,0.0,2,8
Start,500.0,1,9
Start,0.0,2,9
Start,500.0,1,10
Start,0.0,2,10
Up-reserve,996.957073025,1,1
Up-reserve,4205.088012513392,2,1
Up-reserve,996.957073025,1,2
Up-reserve,4205.088012513392,2,2
Up-reserve,996.957073025,1,3
Up-reserve,4205.088012513392,2,3
Up-reserve,996.957073025,1,4
Up-reserve,4205.088012513392,2,4
Up-reserve,996.957073025,1,5
Up-reserve,4205.088012513392,2,5
Up-reserve,996.957073025,1,6
Up-reserve,4205.088012513392,2,6
Up-reserve,996.957073025,1,7
Up-reserve,4205.088012513392,2,7
Up-reserve,996.957073025,1,8
Up-reserve,4205.088012513392,2,8
Up-reserve,996.957073025,1,9
Up-reserve,4205.088012513392,2,9
Up-reserve,996.957073025,1,10
Up-reserve,4205.088012513392,2,10
Down-reserve,1210.400684612856,1,1
Down-reserve,2828.5309720232744,2,1
Down-reserve,1210.400684612856,1,2
Down-reserve,2828.5309720232744,2,2
Down-reserve,1210.400684612856,1,3
Down-reserve,2828.5309720232744,2,3
Down-reserve,1210.400684612856,1,4
Down-reserve,2828.5309720232744,2,4
Down-reserve,1210.400684612856,1,5
Down-reserve,2828.5309720232744,2,5
Down-reserve,1210.400684612856,1,6
Down-reserve,2828.5309720232744,2,6
Down-reserve,1210.400684612856,1,7
Down-reserve,2828.5309720232744,2,7
Down-reserve,1210.400684612856,1,8
Down-reserve,2828.5309720232744,2,8
Down-reserve,1210.400684612856,1,9
Down-reserve,2828.5309720232744,2,9
Down-reserve,1210.400684612856,1,10
Down-reserve,2828.5309720232744,2,10
