Time;Hour-ahead forecast;Demand;Day-ahead net forecast;Solar without hybrids;Wind without hybrids
00:00;22290;22216;19449;0;2810
00:05;22089;22106;19284;0;2862
00:10;22089;22130;19210;0;2916
00:15;22089;22040;19141;0;2920
00:20;21867;21963;19107;0;2902
00:25;21867;21867;19017;0;2874
00:30;21867;21792;18985;0;2845
00:35;21626;21731;18927;0;2807
00:40;21626;21666;18958;0;2763
00:45;21626;21624;18897;0;2735
00:50;21415;21571;18912;0;2693
00:55;21415;21511;18893;0;2618
01:00;21415;21435;18930;0;2554
01:05;21304;21369;18871;0;2515
01:10;21304;21303;18843;0;2496
01:15;21304;21247;18775;0;2488
01:20;21084;21184;18732;0;2486
01:25;21084;21123;18629;0;2514
01:30;21084;21063;18593;0;2508
01:35;20902;21009;18532;0;2505
01:40;20902;20955;18449;0;2520
01:45;20902;20897;18411;0;2511
01:50;20754;20835;18377;0;2479
01:55;20754;20776;18371;0;2418
02:00;20754;20724;18364;0;2391
02:05;20631;20676;18336;0;2351
02:10;20631;20626;18285;0;2368
02:15;20631;20594;18213;0;2395
02:20;20460;20539;18172;0;2383
02:25;20460;20498;18148;0;2368
02:30;20460;20466;18110;0;2369
02:35;20331;20423;18060;0;2378
02:40;20331;20398;18032;0;2376
02:45;20331;20352;17954;0;2411
02:50;20232;20337;17916;0;2424
02:55;20232;20312;17894;0;2431
03:00;20232;20280;17843;0;2455
03:05;20195;20257;17817;0;2446
03:10;20195;20208;17825;0;2408
03:15;20195;20190;17827;0;2369
03:20;20159;20166;17815;0;2365
03:25;20159;20148;17814;0;2354
03:30;20159;20135;17777;0;2359
03:35;20060;20115;17756;0;2358
03:40;20060;20088;17753;0;2356
03:45;20060;20068;17741;0;2325
03:50;20035;20065;17753;0;2313
03:55;20035;20050;17733;0;2324
04:00;20035;20055;17724;0;2322
04:05;20111;20094;17763;0;2313
04:10;20111;20126;17801;0;2312
04:15;20111;20125;17813;0;2321
04:20;20109;20143;17800;0;2337
04:25;20109;20140;17753;0;2393
04:30;20109;20143;17721;0;2413
04:35;20150;20149;17761;0;2385
04:40;20150;20163;17812;0;2335
04:45;20150;20179;17885;0;2278
04:50;20230;20197;17951;0;2242
04:55;20230;20219;17984;0;2226
05:00;20230;20248;18011;0;2221
05:05;20412;20382;18139;0;2198
05:10;20412;20467;18281;0;2161
05:15;20412;20497;18339;0;2153
05:20;20514;20522;18347;0;2154
05:25;20514;20556;18398;0;2139
05:30;20514;20572;18435;0;2134
05:35;20666;20632;18492;0;2110
05:40;20666;20687;18563;0;2099
05:45;20666;20725;18602;0;2120
05:50;20774;20738;18632;0;2105
05:55;20774;20786;18677;0;2091
06:00;20774;20874;18712;0;2109
06:05;21130;21050;18865;0;2114
06:10;21130;21206;19049;0;2107
06:15;21130;21267;19143;0;2101
06:20;21282;21317;19210;0;2088
06:25;21282;21361;19264;0;2080
06:30;21282;21401;19303;0;2071
06:35;21471;21467;19383;0;2064
06:40;21471;21503;19437;0;2048
06:45;21471;21498;19473;0;2034
06:50;21477;21493;19469;0;2029
06:55;21477;21481;19444;8;2034
07:00;21477;21453;19393;50;2026
07:05;21471;21486;19326;122;2019
07:10;21471;21511;19315;225;1995
07:15;21471;21481;19158;348;1993
07:20;21373;21454;19013;501;1966
07:25;21373;21414;18800;706;1937
07:30;21373;21407;18582;934;1919
07:35;21286;21379;18304;1198;1911
07:40;21286;21375;18015;1488;1907
07:45;21286;21297;17632;1817;1907
07:50;21259;21244;17243;2148;1893
07:55;21259;21179;16822;2532;1883
08:00;21259;21134;16356;2921;1897
08:05;21100;21122;15937;3326;1913
08:10;21100;21076;15499;3731;1906
08:15;21100;21037;15059;4114;1908
08:20;20930;20956;14596;4500;1929
08:25;20930;20886;14150;4863;1940
08:30;20930;20806;13688;5222;1966
08:35;20691;20728;13259;5579;1965
08:40;20691;20617;12749;5921;2017
08:45;20691;20553;12322;6223;2060
08:50;20461;20505;12022;6454;2052
08:55;20461;20426;11882;6580;2007
09:00;20461;20365;11737;6691;2012
09:05;20291;20318;11266;7088;2006
09:10;20291;20368;11118;7288;1971
09:15;20291;20335;10968;7447;1964
09:20;20169;20267;10761;7589;1950
09:25;20169;20216;10591;7719;1940
09:30;20169;20153;10463;7823;1902
09:35;19984;20126;10320;7929;1896
09:40;19984;20051;10211;8014;1869
09:45;19984;19957;10114;8073;1811
09:50;19883;19882;10008;8130;1766
09:55;19883;19824;9884;8214;1760
10:00;19883;19767;9783;8232;1766
10:05;19766;19763;9749;8247;1764
10:10;19766;19748;9737;8256;1777
10:15;19766;19704;9660;8262;1808
10:20;19638;19633;9571;8268;1831
10:25;19638;19585;9482;8257;1863
10:30;19638;19541;9415;8253;1885
10:35;19478;19496;9355;8250;1905
10:40;19478;19435;9254;8272;1939
10:45;19478;19384;9174;8258;1979
10:50;19273;19316;9070;8245;2017
10:55;19273;19228;9006;8236;2019
11:00;19273;19230;8911;8230;2095
11:05;19166;19156;8827;8214;2135
11:10;19166;19108;8836;8197;2089
11:15;19166;19034;8817;8179;2064
11:20;19043;18985;8789;8155;2054
11:25;19043;18979;8828;8154;2002
11:30;19043;18929;8843;8154;1952
11:35;18924;18871;8804;8155;1935
11:40;18924;18828;8757;8146;1933
11:45;18924;18819;8780;8136;1915
11:50;18795;18760;8755;8127;1893
11:55;18795;18724;8746;8131;1866
12:00;18795;18705;8723;8135;1847
12:05;18719;18688;8709;8135;1845
12:10;18719;18647;8695;8140;1835
12:15;18719;18633;8666;8137;1830
12:20;18651;18594;8672;8136;1803
12:25;18651;18602;8672;8146;1775
12:30;18651;18574;8724;8148;1713
12:35;18566;18569;8804;8093;1657
12:40;18566;18534;8853;8102;1595
12:45;18566;18545;8839;8092;1598
12:50;18547;18546;8816;8136;1617
12:55;18547;18539;8716;8230;1599
13:00;18547;18523;8674;8250;1617
13:05;18560;18536;8708;8210;1599
13:10;18560;18528;8666;8267;1587
13:15;18560;18573;8763;8213;1571
13:20;18563;18574;8824;8225;1514
13:25;18563;18598;8997;8167;1410
13:30;18563;18602;9009;8237;1338
13:35;18623;18632;9021;8317;1289
13:40;18623;18663;9037;8328;1279
13:45;18623;18715;9140;8324;1232
13:50;18750;18760;9269;8283;1185
13:55;18750;18784;9362;8229;1181
14:00;18750;18847;9440;8187;1202
14:05;18930;18874;9486;8145;1230
14:10;18930;18929;9650;8043;1202
14:15;18930;18984;9802;7958;1188
14:20;19055;19045;9927;7910;1180
14:25;19055;19127;10065;7854;1164
14:30;19055;19193;10251;7793;1132
14:35;19257;19277;10444;7695;1088
14:40;19257;19396;10801;7442;1070
14:45;19257;19486;11120;7253;1059
14:50;19628;19598;11413;7108;1021
14:55;19628;19673;11713;6928;986
15:00;19628;19728;11954;6785;942
15:05;19918;19805;12250;6612;879
15:10;19918;19866;12587;6410;811
15:15;19918;19939;12963;6126;790
15:20;20213;20086;13443;5725;795
15:25;20213;20227;14048;5291;789
15:30;20213;20362;14567;4944;756
15:35;20571;20485;15087;4581;714
15:40;20571;20659;15648;4208;696
15:45;20571;20832;16314;3720;662
15:50;21042;20999;16888;3377;636
15:55;21042;21207;17500;2951;616
16:00;21042;21381;18097;2603;582
16:05;21694;21551;18647;2221;574
16:10;21694;21729;19253;1807;554
16:15;21694;21952;19881;1396;544
16:20;22249;22161;20373;1151;530
16:25;22249;22383;20883;864;522
16:30;22249;22605;21277;692;518
16:35;23086;22875;21684;546;518
16:40;23086;23169;22264;276;538
16:45;23086;23488;22676;128;555
16:50;24097;23774;23034;79;550
16:55;24097;24084;23363;44;540
17:00;24097;24419;23770;17;499
17:05;25272;24787;24141;2;496
17:10;25272;25185;24526;2;487
17:15;25272;25532;24922;2;470
17:20;26194;25884;25305;2;463
17:25;26194;26121;25554;2;459
17:30;26194;26341;25807;2;459
17:35;26547;26519;25993;2;459
17:40;26547;26606;26143;2;451
17:45;26547;26699;26214;2;442
17:50;26877;26753;26290;2;445
17:55;26877;26818;26345;2;448
18:00;26877;26845;26395;2;441
18:05;26853;26841;26425;2;425
18:10;26853;26846;26447;2;395
18:15;26853;26897;26485;2;385
18:20;26903;26916;26534;2;374
18:25;26903;26929;26558;2;369
18:30;26903;26920;26558;2;364
18:35;26876;26868;26528;2;360
18:40;26876;26889;26514;2;365
18:45;26876;26859;26511;2;363
18:50;26827;26834;26481;2;364
18:55;26827;26823;26459;2;371
19:00;26827;26815;26439;2;381
19:05;26720;26779;26423;2;377
19:10;26720;26735;26354;2;380
19:15;26720;26747;26358;2;387
19:20;26661;26715;26352;2;390
19:25;26661;26735;26317;2;401
19:30;26661;26707;26326;2;402
19:35;26508;26699;26311;2;393
19:40;26508;26668;26306;2;380
19:45;26508;26658;26279;2;379
19:50;26483;26648;26266;2;380
19:55;26483;26627;26259;2;378
20:00;26483;26578;26237;2;375
20:05;26507;26551;26203;2;358
20:10;26507;26452;26153;2;332
20:15;26507;26441;26114;2;333
20:20;26357;26407;26104;2;330
20:25;26357;26389;26060;2;337
20:30;26357;26328;26010;2;340
20:35;26163;26264;25946;2;339
20:40;26163;26239;25918;2;332
20:45;26163;26196;25864;2;342
20:50;26021;26138;25816;2;357
20:55;26021;26031;25721;2;349
21:00;26021;25960;25653;2;350
21:05;25825;25880;25562;2;344
21:10;25825;25741;25472;2;328
21:15;25825;25673;25380;2;329
21:20;25592;25554;25284;2;324
21:25;25592;25482;25192;2;315
21:30;25592;25390;25126;2;301
21:35;25242;25320;25042;2;304
21:40;25242;25243;24993;2;298
21:45;25242;25132;24881;2;290
21:50;24861;24997;24762;2;298
21:55;24861;24876;24621;2;299
22:00;24861;24709;24509;2;293
22:05;24467;24528;24313;2;284
22:10;24467;24388;24148;2;273
22:15;24467;24253;24046;2;270
22:20;24112;24115;23896;2;269
22:25;24112;23996;23775;2;267
22:30;24112;23843;23636;2;268
22:35;23623;23704;23504;2;251
22:40;23623;23602;23407;2;241
22:45;23623;23460;23283;2;233
22:50;23188;23326;23133;2;232
22:55;23188;23228;23056;2;231
23:00;23188;23045;22884;2;234
23:05;22813;22911;22726;2;244
23:10;22813;22790;22581;2;248
23:15;22813;22647;22453;2;242
23:20;22465;22562;22374;2;238
23:25;22465;22413;22221;2;240
23:30;22465;22302;22104;2;248
23:35;22133;22189;21970;2;259
23:40;22133;22096;21875;2;262
23:45;22133;21961;21759;2;257
23:50;21813;21838;21641;2;254
23:55;21813;21716;21500;0;249
